2026-05-28 04:35:42,389 | Pipelinebuilder | INFO | Successfully created the GridSearchCV for the decision tree pipeline
2026-05-28 04:35:42,389 | PipelineRunner | INFO | Pipeline build has been completed
2026-05-28 04:35:42,389 | PipelineRunner | INFO | Training the model and the pipeline with the data
2026-05-28 04:35:42,390 | Training | INFO | Training the model
2026-05-28 04:35:42,390 | Training | INFO | Fitting the data into the model
2026-05-28 04:35:45,260 | Training | INFO | Getting the best model
2026-05-28 04:35:45,261 | Training | INFO | Testing the best model
2026-05-28 04:35:45,262 | Training | INFO | Testing has been completed
2026-05-28 04:35:45,262 | Training | INFO | Retrieveing the path to save the model
2026-05-28 04:35:45,262 | Training | INFO | Model path exists and proceeding to save the model
2026-05-28 04:35:45,265 | Training | INFO | Model has been successfully saved
2026-05-28 04:35:45,265 | Training | INFO | Calculating the accuracy
2026-05-28 04:35:45,267 | Training | INFO | Accuracy has been saved to the file in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/accuracy.txt
2026-05-28 04:35:45,267 | Training | INFO | Generating the classification report
2026-05-28 04:35:45,272 | Training | INFO | Classification report has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/classification_report.txt
2026-05-28 04:35:45,272 | Training | INFO | Calculating the recall score
2026-05-28 04:35:45,274 | Training | INFO | Recall score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/recall.txt
2026-05-28 04:35:45,274 | Training | INFO | Calculating the precision score
2026-05-28 04:35:45,276 | Training | INFO | Precision score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/precision.txt
2026-05-28 04:35:45,276 | Training | INFO | Calculating the F1 score
2026-05-28 04:35:45,278 | Training | INFO | F1 score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/f1.txt
2026-05-28 04:35:45,278 | Training | INFO | Generating confusion matrix
2026-05-28 04:35:46,422 | Training | INFO | Confusion matrix has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/confusion_matrix.png
2026-05-28 04:35:46,423 | PipelineRunner | INFO | Model training has been completed
2026-05-28 04:35:46,423 | PipelineRunner | INFO | Testing the model
2026-05-28 04:35:46,423 | Testing | INFO | Starting model testing
2026-05-28 04:35:46,425 | Testing | INFO | Test dataset created with 10 samples
2026-05-28 04:35:46,425 | Testing | INFO | Looking for model file at: E:\PythonCertificates\Network Anaomoly detection\pipeline\models/network_anomaly_model.pkl
2026-05-28 04:35:46,441 | Testing | INFO | Model loaded successfully
2026-05-28 04:35:46,442 | Testing | INFO | Predictions generated successfully
2026-05-28 04:35:46,446 | Testing | INFO | Test cases saved to: E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/test_cases.csv
2026-05-28 04:35:46,447 | Testing | INFO | Testing accuracy: 50.00% saved to: E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/testing_accuracy.txt
2026-05-28 04:35:46,447 | PipelineRunner | INFO | Model Testing has been completed
2026-05-28 04:35:46,447 | PipelineRunner | INFO | Pipeline run has been completed
2026-05-28 04:35:46,448 | Main | INFO | Ml build pipeline has been completed
2026-05-28 04:37:21,508 | Main | INFO | Starting the Ml build pipeline
2026-05-28 04:37:21,508 | PipelineRunner | INFO | Starting the Pipeline
2026-05-28 04:37:21,508 | PipelineRunner | INFO | Loading the configurations
2026-05-28 04:37:21,510 | PipelineRunner | INFO | Fetched the Data path
2026-05-28 04:37:21,510 | PipelineRunner | INFO | Reading the Data file
2026-05-28 04:37:21,515 | PipelineRunner | INFO | Data file has been read successfully
2026-05-28 04:37:21,515 | PipelineRunner | INFO | Performing data validations on the data file
2026-05-28 04:37:21,515 | validaation | INFO | Checking for the presence of the required columns in the dataset
2026-05-28 04:37:21,515 | validaation | INFO | All the columns are present in the dataset
2026-05-28 04:37:21,515 | validaation | INFO | Renaming the columns in the dataset
2026-05-28 04:37:21,516 | validaation | INFO | Columns have been renamed successfully
2026-05-28 04:37:21,516 | PipelineRunner | INFO | Data Validation completed
2026-05-28 04:37:21,516 | PipelineRunner | INFO | Getting the prediction columns
2026-05-28 04:37:21,516 | PipelineRunner | INFO | Prediction column fetched successfully
2026-05-28 04:37:21,516 | PipelineRunner | INFO | Getting the Augmentation factor and Noise factor
2026-05-28 04:37:21,516 | PipelineRunner | INFO | Spliting the data set into train and test
2026-05-28 04:37:21,535 | PipelineRunner | INFO | Performing Data augmentatino on the training data
2026-05-28 04:37:21,536 | Data Augmentation | INFO | Starting the data augmentation process
2026-05-28 04:37:21,544 | Data Augmentation | INFO | Data augmentation process has beem completed
2026-05-28 04:37:21,545 | Data Augmentation | INFO | Merging the augmented data with the original training data
2026-05-28 04:37:21,546 | Data Augmentation | INFO | Merging completed successfully
2026-05-28 04:37:21,546 | PipelineRunner | INFO | Data Augmentation completed
2026-05-28 04:37:21,546 | PipelineRunner | INFO | Building the pipeline
2026-05-28 04:37:21,548 | Pipelinebuilder | INFO | loading the cv and the scoring parameters from the config file
2026-05-28 04:37:21,548 | Pipelinebuilder | INFO | Successfully loaded the parameters from the config file
2026-05-28 04:37:21,548 | Pipelinebuilder | INFO | Building the decision tree pipeline
2026-05-28 04:37:21,548 | Pipelinebuilder | INFO | Successfully built the decision tree pipeline
2026-05-28 04:37:21,548 | Pipelinebuilder | INFO | loading the parameter grid configuration for the grid search
